1,1,,,1,C1^1,P 1,P 1,P 1,,P,1,1,1,,1,,,,,
2,1,,,2,Ci^1,-P 1,P -1,P -1,,P,-1,1,1,,-1,,1,,1,
3,1,b,,3,C2^1,P 2y,P 2 = P 1 2 1,P 1 2 1,b,P,1,2,1,,1,,2,,1,
4,2,c,,3,C2^1,P 2,P 2 = P 1 1 2,P 1 1 2,c,P,1,1,2,,1,,1,,2,
5,3,a,,3,C2^1,P 2x,P 2 = P 2 1 1,P 2 1 1,a,P,2,1,1,,2,,1,,1,
6,1,b,,4,C2^2,P 2yb,P 2_1 = P 1 2_1 1,P 1 2_1 1,b,P,1,2s1,1,,1,,2s1,,1,
7,2,c,,4,C2^2,P 2c,P 2_1 = P 1 1 2_1,P 1 1 2_1,c,P,1,1,2s1,,1,,1,,2s1,
8,3,a,,4,C2^2,P 2xa,P 2_1 = P 2_1 1 1,P 2_1 1 1,a,P,2s1,1,1,,2s1,,1,,1,
9,1,b1,,5,C2^3,C 2y,C 2 = C 1 2 1,C 1 2 1,b,C,1,2,1,,1,,2,,1,
10,2,b2,,5,C2^3,A 2y,C 2 = A 1 2 1,A 1 2 1,b,A,1,2,1,,1,,2,,1,
11,3,b3,,5,C2^3,I 2y,C 2 = I 1 2 1,I 1 2 1,b,I,1,2,1,,1,,2,,1,
12,4,c1,,5,C2^3,A 2,C 2 = A 1 1 2,A 1 1 2,c,A,1,1,2,,1,,1,,2,
13,5,c2,,5,C2^3,B 2,C 2 = B 1 1 2 = B 2,B 1 1 2,c,B,1,1,2,,1,,1,,2,
14,6,c3,,5,C2^3,I 2,C 2 = I 1 1 2,I 1 1 2,c,I,1,1,2,,1,,1,,2,
15,7,a1,,5,C2^3,B 2x,C 2 = B 2 1 1,B 2 1 1,a,B,2,1,1,,2,,1,,1,
16,8,a2,,5,C2^3,C 2x,C 2 = C 2 1 1,C 2 1 1,a,C,2,1,1,,2,,1,,1,
17,9,a3,,5,C2^3,I 2x,C 2 = I 2 1 1,I 2 1 1,a,I,2,1,1,,2,,1,,1,
18,1,b,,6,Cs^1,P -2y,P m = P 1 m 1,P 1 m 1,b,P,1,m,1,,1,,,m,1,
19,2,c,,6,Cs^1,P -2,P m = P 1 1 m,P 1 1 m,c,P,1,1,m,,1,,1,,,m
20,3,a,,6,Cs^1,P -2x,P m = P m 1 1,P m 1 1,a,P,m,1,1,,,m,1,,1,
21,1,b1,,7,Cs^2,P -2yc,P c = P 1 c 1,P 1 c 1,b,P,1,c,1,,1,,,c,1,
22,2,b2,,7,Cs^2,P -2yac,P c = P 1 n 1,P 1 n 1,b,P,1,n,1,,1,,,n,1,
23,3,b3,,7,Cs^2,P -2ya,P c = P 1 a 1,P 1 a 1,b,P,1,a,1,,1,,,a,1,
24,4,c1,,7,Cs^2,P -2a,P c = P 1 1 a,P 1 1 a,c,P,1,1,a,,1,,1,,,a
25,5,c2,,7,Cs^2,P -2ab,P c = P 1 1 n,P 1 1 n,c,P,1,1,n,,1,,1,,,n
26,6,c3,,7,Cs^2,P -2b,P c = P 1 1 b = P b,P 1 1 b,c,P,1,1,b,,1,,1,,,b
27,7,a1,,7,Cs^2,P -2xb,P c = P b 1 1,P b 1 1,a,P,b,1,1,,,b,1,,1,
28,8,a2,,7,Cs^2,P -2xbc,P c = P n 1 1,P n 1 1,a,P,n,1,1,,,n,1,,1,
29,9,a3,,7,Cs^2,P -2xc,P c = P c 1 1,P c 1 1,a,P,c,1,1,,,c,1,,1,
30,1,b1,,8,Cs^3,C -2y,C m = C 1 m 1,C 1 m 1,b,C,1,m,1,,1,,,m,1,
31,2,b2,,8,Cs^3,A -2y,C m = A 1 m 1,A 1 m 1,b,A,1,m,1,,1,,,m,1,
32,3,b3,,8,Cs^3,I -2y,C m = I 1 m 1,I 1 m 1,b,I,1,m,1,,1,,,m,1,
33,4,c1,,8,Cs^3,A -2,C m = A 1 1 m,A 1 1 m,c,A,1,1,m,,1,,1,,,m
34,5,c2,,8,Cs^3,B -2,C m = B 1 1 m = B m,B 1 1 m,c,B,1,1,m,,1,,1,,,m
35,6,c3,,8,Cs^3,I -2,C m = I 1 1 m,I 1 1 m,c,I,1,1,m,,1,,1,,,m
36,7,a1,,8,Cs^3,B -2x,C m = B m 1 1,B m 1 1,a,B,m,1,1,,,m,1,,1,
37,8,a2,,8,Cs^3,C -2x,C m = C m 1 1,C m 1 1,a,C,m,1,1,,,m,1,,1,
38,9,a3,,8,Cs^3,I -2x,C m = I m 1 1,I m 1 1,a,I,m,1,1,,,m,1,,1,
39,1,b1,,9,Cs^4,C -2yc,C c = C 1 c 1,C 1 c 1,b,C,1,c,1,,1,,,c,1,
40,2,b2,,9,Cs^4,A -2yac,C c = A 1 n 1,A 1 n 1,b,A,1,n,1,,1,,,n,1,
41,3,b3,,9,Cs^4,I -2ya,C c = I 1 a 1,I 1 a 1,b,I,1,a,1,,1,,,a,1,
42,4,-b1,,9,Cs^4,A -2ya,C c = A 1 a 1,A 1 a 1,b,A,1,a,1,,1,,,a,1,
43,5,-b2,,9,Cs^4,C -2ybc,C c = C 1 n 1,C 1 n 1,b,C,1,n,1,,1,,,n,1,
44,6,-b3,,9,Cs^4,I -2yc,C c = I 1 c 1,I 1 c 1,b,I,1,c,1,,1,,,c,1,
45,7,c1,,9,Cs^4,A -2a,C c = A 1 1 a,A 1 1 a,c,A,1,1,a,,1,,1,,,a
46,8,c2,,9,Cs^4,B -2bc,C c = B 1 1 n,B 1 1 n,c,B,1,1,n,,1,,1,,,n
47,9,c3,,9,Cs^4,I -2b,C c = I 1 1 b,I 1 1 b,c,I,1,1,b,,1,,1,,,b
48,10,-c1,,9,Cs^4,B -2b,C c = B 1 1 b = B b,B 1 1 b,c,B,1,1,b,,1,,1,,,b
49,11,-c2,,9,Cs^4,A -2ac,C c = A 1 1 n,A 1 1 n,c,A,1,1,n,,1,,1,,,n
50,12,-c3,,9,Cs^4,I -2a,C c = I 1 1 a,I 1 1 a,c,I,1,1,a,,1,,1,,,a
51,13,a1,,9,Cs^4,B -2xb,C c = B b 1 1,B b 1 1,a,B,b,1,1,,,b,1,,1,
52,14,a2,,9,Cs^4,C -2xbc,C c = C n 1 1,C n 1 1,a,C,n,1,1,,,n,1,,1,
53,15,a3,,9,Cs^4,I -2xc,C c = I c 1 1,I c 1 1,a,I,c,1,1,,,c,1,,1,
54,16,-a1,,9,Cs^4,C -2xc,C c = C c 1 1,C c 1 1,a,C,c,1,1,,,c,1,,1,
55,17,-a2,,9,Cs^4,B -2xbc,C c = B n 1 1,B n 1 1,a,B,n,1,1,,,n,1,,1,
56,18,-a3,,9,Cs^4,I -2xb,C c = I b 1 1,I b 1 1,a,I,b,1,1,,,b,1,,1,
57,1,b,,10,C2h^1,-P 2y,P 2/m = P 1 2/m 1,P 1 2/m 1,b,P,1,2m,1,,1,,2,m,1,
58,2,c,,10,C2h^1,-P 2,P 2/m = P 1 1 2/m,P 1 1 2/m,c,P,1,1,2m,,1,,1,,2,m
59,3,a,,10,C2h^1,-P 2x,P 2/m = P 2/m 1 1,P 2/m 1 1,a,P,2m,1,1,,2,m,1,,1,
60,1,b,,11,C2h^2,-P 2yb,P 2_1/m = P 1 2_1/m 1,P 1 2_1/m 1,b,P,1,2s1m,1,,1,,2s1,m,1,
61,2,c,,11,C2h^2,-P 2c,P 2_1/m = P 1 1 2_1/m,P 1 1 2_1/m,c,P,1,1,2s1m,,1,,1,,2s1,m
62,3,a,,11,C2h^2,-P 2xa,P 2_1/m = P 2_1/m 1 1,P 2_1/m 1 1,a,P,2s1m,1,1,,2s1,m,1,,1,
63,1,b1,,12,C2h^3,-C 2y,C 2/m = C 1 2/m 1,C 1 2/m 1,b,C,1,2m,1,,1,,2,m,1,
64,2,b2,,12,C2h^3,-A 2y,C 2/m = A 1 2/m 1,A 1 2/m 1,b,A,1,2m,1,,1,,2,m,1,
65,3,b3,,12,C2h^3,-I 2y,C 2/m = I 1 2/m 1,I 1 2/m 1,b,I,1,2m,1,,1,,2,m,1,
66,4,c1,,12,C2h^3,-A 2,C 2/m = A 1 1 2/m,A 1 1 2/m,c,A,1,1,2m,,1,,1,,2,m
67,5,c2,,12,C2h^3,-B 2,C 2/m = B 1 1 2/m = B 2/m,B 1 1 2/m,c,B,1,1,2m,,1,,1,,2,m
68,6,c3,,12,C2h^3,-I 2,C 2/m = I 1 1 2/m,I 1 1 2/m,c,I,1,1,2m,,1,,1,,2,m
69,7,a1,,12,C2h^3,-B 2x,C 2/m = B 2/m 1 1,B 2/m 1 1,a,B,2m,1,1,,2,m,1,,1,
70,8,a2,,12,C2h^3,-C 2x,C 2/m = C 2/m 1 1,C 2/m 1 1,a,C,2m,1,1,,2,m,1,,1,
71,9,a3,,12,C2h^3,-I 2x,C 2/m = I 2/m 1 1,I 2/m 1 1,a,I,2m,1,1,,2,m,1,,1,
72,1,b1,,13,C2h^4,-P 2yc,P 2/c = P 1 2/c 1,P 1 2/c 1,b,P,1,2c,1,,1,,2,c,1,
73,2,b2,,13,C2h^4,-P 2yac,P 2/c = P 1 2/n 1,P 1 2/n 1,b,P,1,2n,1,,1,,2,n,1,
74,3,b3,,13,C2h^4,-P 2ya,P 2/c = P 1 2/a 1,P 1 2/a 1,b,P,1,2a,1,,1,,2,a,1,
75,4,c1,,13,C2h^4,-P 2a,P 2/c = P 1 1 2/a,P 1 1 2/a,c,P,1,1,2a,,1,,1,,2,a
76,5,c2,,13,C2h^4,-P 2ab,P 2/c = P 1 1 2/n,P 1 1 2/n,c,P,1,1,2n,,1,,1,,2,n
77,6,c3,,13,C2h^4,-P 2b,P 2/c = P 1 1 2/b = P 2/b,P 1 1 2/b,c,P,1,1,2b,,1,,1,,2,b
78,7,a1,,13,C2h^4,-P 2xb,P 2/c = P 2/b 1 1,P 2/b 1 1,a,P,2b,1,1,,2,b,1,,1,
79,8,a2,,13,C2h^4,-P 2xbc,P 2/c = P 2/n 1 1,P 2/n 1 1,a,P,2n,1,1,,2,n,1,,1,
80,9,a3,,13,C2h^4,-P 2xc,P 2/c = P 2/c 1 1,P 2/c 1 1,a,P,2c,1,1,,2,c,1,,1,
81,1,b1,,14,C2h^5,-P 2ybc,P 2_1/c = P 1 2_1/c 1,P 1 2_1/c 1,b,P,1,2s1c,1,,1,,2s1,c,1,
82,2,b2,,14,C2h^5,-P 2yn,P 2_1/c = P 1 2_1/n 1,P 1 2_1/n 1,b,P,1,2s1n,1,,1,,2s1,n,1,
